kana,romaji,system,grp,x,y
グ,gu,katakana,dakuten,10,3
ゲ,ge,katakana,dakuten,10,2
ゴ,go,katakana,dakuten,10,1
ザ,za,katakana,dakuten,9,5
ジ,ji,katakana,dakuten,9,4
ズ,zu,katakana,dakuten,9,3
ゼ,ze,katakana,dakuten,9,2
ゾ,zo,katakana,dakuten,9,1
ダ,da,katakana,dakuten,8,5
ヂ,ji,katakana,dakuten,8,4
ヅ,zu,katakana,dakuten,8,3
デ,de,katakana,dakuten,8,2
ド,do,katakana,dakuten,8,1
バ,ba,katakana,dakuten,6,5
ビ,bi,katakana,dakuten,6,4
ブ,bu,katakana,dakuten,6,3
ベ,be,katakana,dakuten,6,2
ボ,bo,katakana,dakuten,6,1
パ,pa,katakana,handakuten,6,5
ピ,pi,katakana,handakuten,6,4
プ,pu,katakana,handakuten,6,3
ペ,pe,katakana,handakuten,6,2
ポ,po,katakana,handakuten,6,1
キャ,kya,katakana,youon,10,4
キュ,kyu,katakana,youon,10,4
キョ,kyo,katakana,youon,10,4
シャ,sha,katakana,youon,9,4
シュ,shu,katakana,youon,9,4
ショ,sho,katakana,youon,9,4
チャ,cha,katakana,youon,8,4
チュ,chu,katakana,youon,8,4
チョ,cho,katakana,youon,8,4
ニャ,nya,katakana,youon,7,4
ニュ,nyu,katakana,youon,7,4
ニョ,nyo,katakana,youon,7,4
ヒャ,hya,katakana,youon,6,4
ヒュ,hyu,katakana,youon,6,4
ヒョ,hyo,katakana,youon,6,4
ミャ,mya,katakana,youon,5,4
ミュ,myu,katakana,youon,5,4
ミョ,myo,katakana,youon,5,4
リャ,rya,katakana,youon,3,4
リュ,ryu,katakana,youon,3,4
リョ,ryo,katakana,youon,3,4
ギャ,gya,katakana,youondakuten,10,4
ギュ,gyu,katakana,youondakuten,10,4
ギョ,gyo,katakana,youondakuten,10,4
ジャ,ja,katakana,youondakuten,9,4
ジュ,ju,katakana,youondakuten,9,4
ジョ,jo,katakana,youondakuten,9,4
ビャ,bya,katakana,youondakuten,6,4
ビュ,byu,katakana,youondakuten,6,4
ビョ,byo,katakana,youondakuten,6,4
ピャ,pya,katakana,youonhandakuten,6,4
ピュ,pyu,katakana,youonhandakuten,6,4
ピョ,pyo,katakana,youonhandakuten,6,4
